question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
Nghị định bảo vệ dữ liệu cá nhân số 13/2023/NĐ-CP được ban hành vào ngày tháng năm nào?,Ngày 17 tháng 4 năm 2023.,"[""Ngày 17 tháng 4 năm 2023.""]",Ngày 17 tháng 4 năm 2023.,simple,0.97,0.834,0.96,0.96
Dữ liệu cá nhân được phân làm mấy loại chính theo quy định tại Nghị định 13?,Dữ liệu cá nhân bao gồm 2 loại chính: dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.,"[""Dữ liệu cá nhân bao gồm 2 loại chính: dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.""]",Dữ liệu cá nhân bao gồm 2 loại chính: dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.,simple,0.975,0.864,0.965,0.965
Thông tin về nhóm máu có được coi là dữ liệu cá nhân nhạy cảm theo Nghị định 13 không?,"Không, tình trạng sức khỏe được ghi trong hồ sơ bệnh án là dữ liệu nhạy cảm, nhưng không bao gồm thông tin về nhóm máu.","[""Không, tình trạng sức khỏe được ghi trong hồ sơ bệnh án là dữ liệu nhạy cảm, nhưng không bao gồm thông tin về nhóm máu.""]","Không, tình trạng sức khỏe được ghi trong hồ sơ bệnh án là dữ liệu nhạy cảm, nhưng không bao gồm thông tin về nhóm máu.",simple,0.98,0.907,0.97,0.97
Bên Xử lý dữ liệu cá nhân được định nghĩa như thế nào trong Nghị định 13?,"Bên Xử lý dữ liệu cá nhân là tổ chức, cá nhân thực hiện việc xử lý dữ liệu thay mặt cho Bên Kiểm soát dữ liệu, thông qua một hợp đồng hoặc thỏa thuận với Bên Kiểm soát dữ liệu.","[""Bên Xử lý dữ liệu cá nhân là tổ chức, cá nhân thực hiện việc xử lý dữ liệu thay mặt cho Bên Kiểm soát dữ liệu, thông qua một hợp đồng hoặc thỏa thuận với Bên Kiểm soát dữ liệu.""]","Bên Xử lý dữ liệu cá nhân là tổ chức, cá nhân thực hiện việc xử lý dữ liệu thay mặt cho Bên Kiểm soát dữ liệu, thông qua một hợp đồng hoặc thỏa thuận với Bên Kiểm soát dữ liệu.",simple,0.985,0.851,0.975,0.975
Thế nào là Xử lý dữ liệu cá nhân tự động?,"Là hình thức xử lý dữ liệu cá nhân được thực hiện bằng phương tiện điện tử nhằm đánh giá, phân tích, dự đoán hoạt động của một người cụ thể, như: thói quen, sở thích, mức độ tin cậy, hành vi, địa điểm, xu hướng, năng lực.","[""Là hình thức xử lý dữ liệu cá nhân được thực hiện bằng phương tiện điện tử nhằm đánh giá, phân tích, dự đoán hoạt động của một người cụ thể, như: thói quen, sở thích, mức độ tin cậy, hành vi, địa điểm, xu hướng, năng lực.""]","Là hình thức xử lý dữ liệu cá nhân được thực hiện bằng phương tiện điện tử nhằm đánh giá, phân tích, dự đoán hoạt động của một người cụ thể, như: thói quen, sở thích, mức độ tin cậy, hành vi, địa điểm, xu hướng, năng lực.",simple,0.99,0.842,0.98,0.98
"Theo Nghị định 13, khi nào thì hoạt động xử lý dữ liệu được coi là chuyển dữ liệu cá nhân ra nước ngoài?","Khi tổ chức, cá nhân chuyển dữ liệu của công dân Việt Nam cho tổ chức, bộ phận quản lý ở nước ngoài, hoặc xử lý dữ liệu của công dân Việt Nam bằng các hệ thống tự động nằm ngoài lãnh thổ Việt Nam.","[""Khi tổ chức, cá nhân chuyển dữ liệu của công dân Việt Nam cho tổ chức, bộ phận quản lý ở nước ngoài, hoặc xử lý dữ liệu của công dân Việt Nam bằng các hệ thống tự động nằm ngoài lãnh thổ Việt Nam.""]","Khi tổ chức, cá nhân chuyển dữ liệu của công dân Việt Nam cho tổ chức, bộ phận quản lý ở nước ngoài, hoặc xử lý dữ liệu của công dân Việt Nam bằng các hệ thống tự động nằm ngoài lãnh thổ Việt Nam.",simple,0.995,0.88,0.985,0.985
Hãy liệt kê các hành vi bị nghiêm cấm trong hoạt động bảo vệ dữ liệu cá nhân theo Điều 8.,"1. Xử lý trái pháp luật. 2. Tạo thông tin chống phá Nhà nước. 3. Gây ảnh hưởng an ninh quốc gia, trật tự an toàn xã hội, quyền lợi tổ chức, cá nhân. 4. Cản trở cơ quan có thẩm quyền. 5. Lợi dụng bảo vệ dữ liệu để vi phạm pháp luật.","[""1. Xử lý trái pháp luật. 2. Tạo thông tin chống phá Nhà nước. 3. Gây ảnh hưởng an ninh quốc gia, trật tự an toàn xã hội, quyền lợi tổ chức, cá nhân. 4. Cản trở cơ quan có thẩm quyền. 5. Lợi dụng bảo vệ dữ liệu để vi phạm pháp luật.""]","1. Xử lý trái pháp luật. 2. Tạo thông tin chống phá Nhà nước. 3. Gây ảnh hưởng an ninh quốc gia, trật tự an toàn xã hội, quyền lợi tổ chức, cá nhân. 4. Cản trở cơ quan có thẩm quyền. 5. Lợi dụng bảo vệ dữ liệu để vi phạm pháp luật.",simple,1.0,0.832,0.99,0.99
Nội dung quản lý nhà nước về bảo vệ dữ liệu cá nhân do cơ quan nào thống nhất quản lý và bao gồm những việc chính nào?,"Chính phủ thống nhất quản lý. Nội dung bao gồm: ban hành văn bản quy phạm pháp luật, xây dựng chiến lược, hướng dẫn, tuyên truyền giáo dục, đào tạo cán bộ, thanh tra kiểm tra, thống kê báo cáo và hợp tác quốc tế.","[""Chính phủ thống nhất quản lý. Nội dung bao gồm: ban hành văn bản quy phạm pháp luật, xây dựng chiến lược, hướng dẫn, tuyên truyền giáo dục, đào tạo cán bộ, thanh tra kiểm tra, thống kê báo cáo và hợp tác quốc tế.""]","Chính phủ thống nhất quản lý. Nội dung bao gồm: ban hành văn bản quy phạm pháp luật, xây dựng chiến lược, hướng dẫn, tuyên truyền giáo dục, đào tạo cán bộ, thanh tra kiểm tra, thống kê báo cáo và hợp tác quốc tế.",simple,1.0,0.857,0.995,0.995
Thông tin khách hàng của các tổ chức tín dụng có thuộc nhóm dữ liệu cá nhân nhạy cảm không? Bao gồm những thông tin gì?,"Có thuộc nhóm dữ liệu nhạy cảm. Bao gồm: thông tin định danh khách hàng, thông tin tài khoản, tiền gửi, tài sản gửi, giao dịch và thông tin bên bảo đảm.","[""Có thuộc nhóm dữ liệu nhạy cảm. Bao gồm: thông tin định danh khách hàng, thông tin tài khoản, tiền gửi, tài sản gửi, giao dịch và thông tin bên bảo đảm.""]","Có thuộc nhóm dữ liệu nhạy cảm. Bao gồm: thông tin định danh khách hàng, thông tin tài khoản, tiền gửi, tài sản gửi, giao dịch và thông tin bên bảo đảm.",simple,1.0,0.923,1.0,1.0
Việc mua bán dữ liệu cá nhân có được pháp luật cho phép không?,"Dữ liệu cá nhân không được mua, bán dưới mọi hình thức, trừ trường hợp luật có quy định khác.","[""Dữ liệu cá nhân không được mua, bán dưới mọi hình thức, trừ trường hợp luật có quy định khác.""]","Dữ liệu cá nhân không được mua, bán dưới mọi hình thức, trừ trường hợp luật có quy định khác.",simple,0.97,0.919,0.96,0.96
"Là kế toán viên đang rà soát tờ khai thuế GTGT mẫu 01/GTGT cho quý 4 năm 2024 của Công ty Cổ phần DHA Surfaces, tôi cần xác minh các số liệu chính. Vui lòng cho biết cụ thể, với đơn vị tiền là đồng Việt Nam, số thuế GTGT còn được khấu trừ từ kỳ trước chuyển sang, cũng như giá trị hàng hóa, dịch vụ mua vào chưa có thuế và số thuế GTGT tương ứng cho các mặt hàng chịu thuế suất 10% là bao nhiêu?","Theo thông tin trên tờ khai thuế, đơn vị tiền tệ là đồng Việt Nam. Các số liệu cho kỳ tính thuế Quý 4 năm 2024 như sau: Chỉ tiêu ""Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang"" có giá trị là 77.377.803. Đối với chỉ tiêu ""Hàng hóa, dịch vụ mua vào chịu thuế suất 10%"", giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) là 2.405.743.241 và số thuế giá trị gia tăng tương ứng là 245.163.767.","[""['Trang 1 CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập-Tự do-Hạnh phúc Mẫu số: 01/GTGT (Ban hành kèm theo Thông tư số 80/2021/TT-BTC ngày 29 tháng 9 năm 2021 của Bộ trưởng Bộ Tài chính) TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT) (Áp dụng đối với người nộp thuế tính thuế theo phương pháp khấu trừ có hoạt động sản xuất kinh doanh) [01a] Tên người nộp thuế: Hoạt động sản xuất kinh doanh thông thường [01b] Kỳ tính thuế: Quý 4 năm 2024 [02] Lần đầu: [1] [03] Bổ sung lần thứ: [1] [04] Tên người nộp thuế: CÔNG TY CỔ PHẦN DHA SURFACES [05] Mã số thuế: 0106769437 [06] Tên đại lý thuế (nếu có): [07] Mã số thuế: Ngày: [08] Hợp đồng đại lý thuế số: [09] Tên công ty/đại lý thuế/điểm kinh doanh của hoạt động sản xuất kinh doanh khác tính nơi đóng trụ sở chính: [10] Mã số thuế đơn vị phụ thuộc/điểm kinh doanh: [11] Địa chỉ nơi có hoạt động sản xuất kinh doanh khác tính nơi đóng trụ sở chính: [11a] Phường/xã: [11b] Quận/Huyện: [11c] Tỉnh/Thành phố: Đơn vị tiền: đồng Việt Nam | STT | Chỉ tiêu | Giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) | Thuế giá trị gia tăng | |-----|----------|----------------------------------------------------------|-----------------------| | A | Không phát sinh hoạt động mua, bán trong kỳ (đánh dấu \""X\"") | [21] | [22] | | B | Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang | | 77.377.803 | | C | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | | | I | Hàng hóa, dịch vụ mua vào trong kỳ | | | | 1 | Hàng hóa, dịch vụ mua vào chịu thuế giá trị gia tăng | | | | | a | Hàng hóa, dịch vụ mua vào chịu thuế suất 10% | 2.405.743.241 | 245.163.767 | | | b | Hàng hóa, dịch vụ mua vào chịu thuế suất 8% | | | | | c | Hàng hóa, dịch vụ mua vào chịu thuế suất 5% | | | | | d | Hàng hóa, dịch vụ mua vào không chịu thuế | | | | II | Hàng hóa, dịch vụ bán ra trong kỳ | | | | 1 | Hàng hóa, dịch vụ bán ra không chịu thuế giá trị gia tăng | [26] | 0 | | 2 | Hàng hóa, dịch']""]","Theo thông tin trên tờ khai thuế, đơn vị tiền tệ là đồng Việt Nam. Các số liệu cho kỳ tính thuế Quý 4 năm 2024 như sau: Chỉ tiêu ""Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang"" có giá trị là 77.377.803. Đối với chỉ tiêu ""Hàng hóa, dịch vụ mua vào chịu thuế suất 10%"", giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) là 2.405.743.241 và số thuế giá trị gia tăng tương ứng là 245.163.767.",simple,0.918,0.935,0.837,0.851
tổng doanh thu và thuế giá trị gia tăng là nhiêu?,"Theo ngữ cảnh, tại mục ""Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra"", tổng doanh thu là 3.703.688.610 và thuế giá trị gia tăng là 345.675.440.","[""['vụ bán ra chịu thuế giá trị gia tăng | [27] | 3.703.688.610 | | | ([27]=[29]+[30]+[32]; [32]=[33]; [25]=[31]+[33]) | | | | a | Hàng hóa, dịch vụ bán ra chịu thuế suất 0% | [29] | 0 | | b | Hàng hóa, dịch vụ bán ra chịu thuế suất 5% | [30] | 0 | | c | Hàng hóa, dịch vụ bán ra chịu thuế suất 10% | [32] | 3.703.688.610 | | d | Hàng hóa, dịch vụ bán ra không tính thuế | [32a] | | | | Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra | | | | | ([34]=[26]+[27]; [35]=[28]) | 3.703.688.610 | 345.675.440 | | III | Thuế giá trị gia tăng phát sinh trong kỳ ([36]=[35]-[25]) | [36] | 129.511.633 | | IV | Điều chỉnh tăng, giảm thuế giá trị gia tăng còn được khấu trừ của các kỳ trước | | | | 1 | Điều chỉnh giảm | [37] | 0 | | 2 | Điều chỉnh tăng | [38] | 0 | | V | Thuế giá trị gia tăng nhận bán giao được khấu trừ trong kỳ | [39a] | 0 | | VI | Xác định nghĩa vụ thuế giá trị gia tăng phải nộp trong kỳ: | | | | 1 | Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ | [40a] | 52.133.830 | | | ([40a]=[36]-[22]+[37]-[38]-[39a]) ≥ 0) | | | | 2 | Thuế giá trị gia tăng mua vào của dự án đầu tư được trừ với thuế GTGT còn phải nộp của hoạt động sản xuất kinh doanh cùng kỳ tính thuế ([40b]≤[40a]) | [40b] | 0 | | 3 | Thuế giá trị gia tăng còn phải nộp trong kỳ ([40]=[40a]-[40b]) | [40] | 52.133.830 | | 4 | Thuế giá trị gia tăng chưa khấu trừ kỳ này | [41] | 0 | | 4.1 | Thuế giá trị gia tăng đề nghị hoàn (42] ≤ [41]) | [42] | 0 | | 4.2 | Thuế giá trị gia tăng còn được khấu trừ chuyển kỳ sau (43] = [41] - [42]) | [43] | 0 | ##']""]","Theo ngữ cảnh, tại mục ""Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra"", tổng doanh thu là 3.703.688.610 và thuế giá trị gia tăng là 345.675.440.",simple,0.916,0.897,0.825,0.841
cái bà TRỊNH THỊ SANG là ai mà ký vô đây,"Theo văn bản, TRỊNH THỊ SANG là NGƯỜI NỘP THUẾ hoặc ĐẠI DIỆN HỢP PHÁP CỦA NGƯỜI NỘP THUẾ, đã ký tên vào ngày 24 tháng 01 năm 2025.","[""['Trang 2\\n\\nTôi cam đoan số liệu khai trên là đúng và chịu trách nhiệm trước pháp luật về số liệu đã khai./.\\n\\nNgày 24 tháng 01 năm 2025\\n\\n**NGƯỜI NỘP THUẾ hoặc ĐẠI DIỆN HỢP PHÁP CỦA NGƯỜI NỘP THUẾ**  \\n(Chữ ký, ghi rõ họ tên; chức vụ và đóng dấu (nếu có)/ký điện tử)\\n\\nTRỊNH THỊ SANG\\n\\n---\\n\\nKý điện tử bởi: CÔNG TY CỔ PHẦN DHA SURFACES.\\n\\n\\n\\n']""]","Theo văn bản, TRỊNH THỊ SANG là NGƯỜI NỘP THUẾ hoặc ĐẠI DIỆN HỢP PHÁP CỦA NGƯỜI NỘP THUẾ, đã ký tên vào ngày 24 tháng 01 năm 2025.",simple,0.929,0.838,0.85,0.863
Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân có căn cứ vào Bộ luật Dân sự nào?,"Theo văn bản, Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân được ban hành căn cứ vào Bộ luật Dân sự ngày 24 tháng 11 năm 2015.","[""['# Nghi_dinh_so_13-2023_ve_bao_ve_du_lieu_ca_nhan_508ee.pdf ## Trang 1 # CHÍNH PHỦ ## CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM ### Độc lập - Tự do - Hạnh phúc Số: 13/2023/NĐ-CP Hà Nội, ngày 17 tháng 4 năm 2023 ## NGHỊ ĐỊNH ### Bảo vệ dữ liệu cá nhân Căn cứ Luật Tổ chức Chính phủ ngày 19 tháng 6 năm 2015; Luật sửa đổi, bổ sung một số điều của Luật Tổ chức Chính phủ và Luật Tổ chức chính quyền địa phương ngày 22 tháng 11 năm 2019; Căn cứ Bộ luật Dân sự ngày 24 tháng 11 năm 2015; Căn cứ Luật An ninh quốc gia ngày 03 tháng 12 năm 2004; Căn cứ Luật An ninh mạng ngày 12 tháng 6 năm 2018; Theo đề nghị của Bộ trưởng Bộ Công an; Chính phủ ban hành Nghị định bảo vệ dữ liệu cá nhân. ## Chương I ### NHỮNG QUY ĐỊNH CHUNG **Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng** 1. Nghị định này quy định về bảo vệ dữ liệu cá nhân và trách nhiệm bảo vệ dữ liệu cá nhân của cơ quan, tổ chức, cá nhân có liên quan. 2. Nghị định này áp dụng đối với: a) Cơ quan, tổ chức, cá nhân Việt Nam; b) Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; c) Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; d) Cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam. --- ## Trang 2 Điều 2. Giải thích từ ngữ Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau: 1. Dữ liệu cá nhân là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liên với một con người cụ thể hoặc giúp xác định một con người cụ thể. Dữ liệu cá nhân bao gồm dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm. 2. Thông tin giúp xác định một con người cụ thể là thông tin hình thành từ hoạt động của cá nhân mà khi kết hợp với các dữ liệu, thông tin lưu trữ khác có thể xác định một con người cụ thể. 3. Dữ liệu cá nhân cơ bản bao gồm: a) Họ, chữ đệm và tên khai sinh, tên gọi khác (nếu có); b) Ngày, tháng, năm sinh; ngày, tháng, năm chết hoặc mất tích; c) Giới tính; d) Nơi sinh, nơi đăng ký khai sinh, nơi thường trú, nơi tạm trú, nơi ở hiện tại, quê quán, địa chỉ liên hệ; d) Quốc tịch; e) Hình ảnh']""]","Theo văn bản, Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân được ban hành căn cứ vào Bộ luật Dân sự ngày 24 tháng 11 năm 2015.",simple,0.922,0.993,0.827,0.844
Tôi đang xem xét lại các thông tin của công ty và có thắc mắc là liệu dữ liẹu cá nhan mà phan ánh hoạt động hay lịch sử hoạt động trên không gian mạng thì có được xếp vào loại dữ liệu cá nhân theo quy định hay không?,"Dữ liệu cá nhân phản ánh hoạt động, lịch sử hoạt động trên không gian mạng là một loại dữ liệu cá nhân.","[""['của cá nhân; g) Số điện thoại, số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số biển số xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế; h) Tình trạng hôn nhân; i) Thông tin về mối quan hệ gia đình (cha mẹ, con cái); k) Thông tin về tài khoản số của cá nhân; dữ liệu cá nhân phản ánh hoạt động, lịch sử hoạt động trên không gian mạng; l) Các thông tin khác gắn liên với một con người cụ thể hoặc giúp xác định một con người cụ thể không thuộc quy định tại khoản 4 Điều này. 4. Dữ liệu cá nhân nhạy cảm là dữ liệu cá nhân gắn liên với quyền riêng tư của cá nhân mà khi bị xâm phạm sẽ gây ảnh hưởng trực tiếp tới quyền và lợi ích hợp pháp của cá nhân gồm: a) Quan điểm chính trị, quan điểm tôn giáo; b) Tình trạng sức khỏe và đời tư được ghi trong hồ sơ bệnh án, không bao gồm thông tin về nhóm máu; --- ## Trang 3 c) Thông tin liên quan đến nguồn gốc chủng tộc, nguồn gốc dân tộc; d) Thông tin về đặc điểm di truyền được thu hưởng hoặc có được của cá nhân; d) Thông tin về thuộc tính vật lý, đặc điểm sinh học riêng của cá nhân; e) Thông tin về đời sống tình dục, xu hướng tình dục của cá nhân; g) Dữ liệu về tội phạm, hành vi phạm tội được thu thập, lưu trữ bởi các cơ quan thực thi pháp luật; h) Thông tin khách hàng của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức cung ứng dịch vụ trung gian thanh toán, các tổ chức được phép khác, gồm: thông tin định danh khách hàng theo quy định của pháp luật, thông tin về tài khoản, thông tin về tiền gửi, thông tin về tài sản gửi, thông tin về giao dịch, thông tin về tổ chức, cá nhân là bên bảo đảm tại tổ chức tín dụng, chi nhánh ngân hàng, tổ chức cung ứng dịch vụ trung gian thanh toán; i) Dữ liệu về vị trí của cá nhân được xác định qua dịch vụ định vị; k) Dữ liệu cá nhân khác được pháp luật quy định là đặc thù và cần có biện pháp bảo mật cần thiết. 5. Bảo vệ dữ liệu cá nhân là hoạt động phòng ngừa, phát hiện, ngăn chặn, xử lý hành vi vi phạm liên quan đến dữ liệu cá nhân theo quy định của pháp luật. 6. Chủ thể dữ liệu là cá nhân được dữ liệu cá nhân phản']""]","Dữ liệu cá nhân phản ánh hoạt động, lịch sử hoạt động trên không gian mạng là một loại dữ liệu cá nhân.",simple,0.921,0.909,0.819,0.838
